Outlet_Establishment_Year,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Total_Revenue,Price_Range,Total_Sales_Year,Average_Sales_Year
1985,NCT29,12.6,Low Fat,0.06,Health and Hygiene,123.04,OUT027,Medium,Tier 3,Supermarket Type3,4629.97,569671.51,Medium,3633620.22,2483.68
1999,NCR18,15.9,Low Fat,0.02,Household,42.51,OUT049,Medium,Tier 1,Supermarket Type1,852.22,36227.87,Low,2183969.98,2348.35
1998,NCV41,14.4,Low Fat,0.03,Health and Hygiene,109.22,OUT010,Medium,Tier 3,Grocery Store,221.05,24143.08,Medium,188340.22,339.35
1985,FDQ13,11.1,Low Fat,0.02,Canned,82.99,OUT019,Small,Tier 1,Grocery Store,503.34,41772.19,Medium,3633620.22,2483.68
1987,FDA44,19.7,Low Fat,0.05,Fruits and Veg,55.99,OUT013,High,Tier 3,Supermarket Type1,905.49,50698.39,Low,2142663.66,2299.0
2004,FDK14,7.0,Low Fat,0.04,Canned,81.69,OUT035,Small,Tier 2,Supermarket Type1,818.93,66898.39,Medium,2268123.09,2438.84
2004,FDT28,13.3,Low Fat,0.06,Frozen Foods,149.47,OUT035,Small,Tier 2,Supermarket Type1,1354.24,202418.25,Medium,2268123.09,2438.84
1998,FDP16,18.6,Low Fat,0.07,Frozen Foods,245.78,OUT010,Medium,Tier 3,Grocery Store,245.68,60383.23,High,188340.22,339.35
2002,FDB16,8.2,Low Fat,0.05,Dairy,87.62,OUT045,Medium,Tier 2,Supermarket Type1,1133.86,99348.81,Medium,2036725.6,2192.38
2002,FDM10,18.3,Low Fat,0.08,Snack Foods,214.02,OUT045,Medium,Tier 2,Supermarket Type1,2564.66,548888.53,High,2036725.6,2192.38
1997,FDZ09,17.6,Low Fat,0.1,Snack Foods,164.89,OUT046,Small,Tier 1,Supermarket Type1,2456.8,405101.75,High,2118395.35,2277.84
1987,FDN15,17.5,Low Fat,0.02,Meat,139.92,OUT013,High,Tier 3,Supermarket Type1,419.45,58689.44,Medium,2142663.66,2299.0
1987,FDK58,11.4,Regular,0.04,Snack Foods,101.0,OUT013,High,Tier 3,Supermarket Type1,2631.24,265755.24,Medium,2142663.66,2299.0
1985,FDN25,7.9,Regular,0.11,Breakfast,55.56,OUT019,Small,Tier 1,Grocery Store,229.04,12725.46,Low,3633620.22,2483.68
2007,NCT30,9.1,Low Fat,0.08,Household,46.97,OUT017,Medium,Tier 2,Supermarket Type1,850.89,39966.3,Low,2167465.52,2340.68
2002,FDP49,9.0,Regular,0.07,Breakfast,55.96,OUT045,Medium,Tier 2,Supermarket Type1,386.83,21647.01,Low,2036725.6,2192.38
1987,FDD40,20.3,Regular,0.01,Dairy,193.82,OUT013,High,Tier 3,Supermarket Type1,3463.49,671293.63,High,2142663.66,2299.0
1987,NCP30,20.5,Low Fat,0.03,Household,40.48,OUT013,High,Tier 3,Supermarket Type1,589.23,23852.03,Low,2142663.66,2299.0
2002,FDJ44,12.3,Regular,0.11,Fruits and Veg,173.24,OUT045,Medium,Tier 2,Supermarket Type1,3139.91,543958.01,High,2036725.6,2192.38
1987,FDD34,7.9,Low Fat,0.02,Snack Foods,161.82,OUT013,High,Tier 3,Supermarket Type1,2446.82,395944.41,High,2142663.66,2299.0
1987,FDL56,14.1,Low Fat,0.13,Fruits and Veg,86.92,OUT013,High,Tier 3,Supermarket Type1,1133.86,98555.11,Medium,2142663.66,2299.0
2009,NCW17,18.0,Low Fat,0.02,Health and Hygiene,128.7,OUT018,Medium,Tier 3,Supermarket Type2,2441.49,314219.76,Medium,1851822.95,1995.5
1987,FDS47,16.8,Low Fat,0.13,Breads,89.19,OUT013,High,Tier 3,Supermarket Type1,1581.94,141093.23,Medium,2142663.66,2299.0
2007,NCM53,18.8,Low Fat,0.05,Health and Hygiene,108.13,OUT017,Medium,Tier 2,Supermarket Type1,1065.28,115188.73,Medium,2167465.52,2340.68
2009,NCX05,15.2,Low Fat,0.1,Health and Hygiene,114.45,OUT018,Medium,Tier 3,Supermarket Type2,579.25,66295.16,Medium,1851822.95,1995.5
1985,FDC32,18.4,Low Fat,0.17,Fruits and Veg,92.05,OUT019,Small,Tier 1,Grocery Store,277.64,25556.76,Medium,3633620.22,2483.68
2004,FDN39,19.4,Regular,0.07,Meat,168.98,OUT035,Small,Tier 2,Supermarket Type1,2852.29,481979.96,High,2268123.09,2438.84
1997,DRI49,14.2,Low Fat,0.18,Soft Drinks,82.43,OUT046,Small,Tier 1,Supermarket Type1,1137.19,93738.57,Medium,2118395.35,2277.84
2009,FDJ41,6.9,Low Fat,0.02,Frozen Foods,261.66,OUT018,Medium,Tier 3,Supermarket Type2,3401.57,890054.81,High,1851822.95,1995.5
1985,FDO19,17.7,Regular,0.02,Fruits and Veg,47.4,OUT027,Medium,Tier 3,Supermarket Type3,2187.15,103670.91,Low,3633620.22,2483.68
2009,DRH13,8.6,Low Fat,0.02,Soft Drinks,106.33,OUT018,Medium,Tier 3,Supermarket Type2,958.75,101943.89,Medium,1851822.95,1995.5
1997,FDE34,9.2,Low Fat,0.11,Snack Foods,182.76,OUT046,Small,Tier 1,Supermarket Type1,3817.03,697600.4,High,2118395.35,2277.84
2009,FDW46,13.0,Regular,0.07,Snack Foods,65.95,OUT018,Medium,Tier 3,Supermarket Type2,1043.97,68849.82,Low,1851822.95,1995.5
1997,FDB15,10.9,Low Fat,0.14,Dairy,263.06,OUT046,Small,Tier 1,Supermarket Type1,527.31,138714.17,High,2118395.35,2277.84
2009,NCP18,12.2,Low Fat,0.03,Household,151.97,OUT018,Medium,Tier 3,Supermarket Type2,3611.3,548809.26,High,1851822.95,1995.5
2004,FDT13,14.9,Low Fat,0.02,Canned,188.22,OUT035,Small,Tier 2,Supermarket Type1,3014.74,567434.36,High,2268123.09,2438.84
1987,FDT12,6.2,Regular,0.05,Baking Goods,227.41,OUT013,High,Tier 3,Supermarket Type1,5191.24,1180539.89,High,2142663.66,2299.0
1997,FDE11,17.7,Regular,0.0,Starchy Foods,184.39,OUT046,Small,Tier 1,Supermarket Type1,4257.13,784972.2,High,2118395.35,2277.84
1997,FDQ11,5.7,Regular,0.07,Breads,256.6,OUT046,Small,Tier 1,Supermarket Type1,2055.99,527567.03,High,2118395.35,2277.84
2004,NCR54,16.4,Low Fat,0.0,Household,198.21,OUT035,Small,Tier 2,Supermarket Type1,2946.17,583960.36,High,2268123.09,2438.84
1985,FDJ10,5.1,Regular,0.13,Snack Foods,139.18,OUT027,Medium,Tier 3,Supermarket Type3,4916.93,684338.32,Medium,3633620.22,2483.68
1998,FDX51,9.5,Regular,0.04,Meat,194.25,OUT010,Medium,Tier 3,Grocery Store,782.98,152093.87,High,188340.22,339.35
1999,NCP30,20.5,Low Fat,0.03,Household,38.98,OUT049,Medium,Tier 1,Supermarket Type1,982.06,38280.7,Low,2183969.98,2348.35
2004,FDJ48,11.3,Low Fat,0.06,Baking Goods,247.81,OUT035,Small,Tier 2,Supermarket Type1,2223.11,550908.89,High,2268123.09,2438.84
1985,FDF57,14.5,Regular,0.06,Fruits and Veg,168.64,OUT027,Medium,Tier 3,Supermarket Type3,3408.9,574876.9,High,3633620.22,2483.68
1985,FDP51,13.9,Regular,0.15,Meat,119.61,OUT019,Small,Tier 1,Grocery Store,592.56,70876.1,Medium,3633620.22,2483.68
1985,DRG01,14.8,Low Fat,0.04,Soft Drinks,74.77,OUT027,Medium,Tier 3,Supermarket Type3,2679.85,200372.38,Medium,3633620.22,2483.68
1998,FDF58,13.3,Low Fat,0.0,Snack Foods,62.15,OUT010,Medium,Tier 3,Grocery Store,63.25,3930.99,Low,188340.22,339.35
2007,FDR33,7.3,Low Fat,0.03,Snack Foods,108.46,OUT017,Medium,Tier 2,Supermarket Type1,2307.0,250217.22,Medium,2167465.52,2340.68
1999,DRG37,16.2,Low Fat,0.02,Soft Drinks,156.8,OUT049,Medium,Tier 1,Supermarket Type1,3739.13,586295.58,High,2183969.98,2348.35
1985,FDE28,9.5,Regular,0.23,Frozen Foods,229.47,OUT019,Small,Tier 1,Grocery Store,460.73,105723.71,High,3633620.22,2483.68
2002,NCL06,14.7,Low Fat,0.07,Household,260.96,OUT045,Medium,Tier 2,Supermarket Type1,2878.25,751108.12,High,2036725.6,2192.38
1985,NCC18,19.1,Low Fat,0.18,Household,173.24,OUT027,Medium,Tier 3,Supermarket Type3,2069.31,358487.26,High,3633620.22,2483.68
1999,FDS27,10.2,Regular,0.01,Meat,197.11,OUT049,Medium,Tier 1,Supermarket Type1,785.64,154857.5,High,2183969.98,2348.35
2007,FDH58,12.3,Low Fat,0.04,Snack Foods,116.88,OUT017,Medium,Tier 2,Supermarket Type1,2649.22,309640.83,Medium,2167465.52,2340.68
2009,FDJ10,5.1,Regular,0.13,Snack Foods,142.48,OUT018,Medium,Tier 3,Supermarket Type2,561.94,80065.21,Medium,1851822.95,1995.5
1998,FDY39,5.3,Regular,0.08,Meat,183.56,OUT010,Medium,Tier 3,Grocery Store,551.28,101192.96,High,188340.22,339.35
1985,FDE11,17.7,Regular,0.13,Starchy Foods,183.99,OUT027,Medium,Tier 3,Supermarket Type3,6478.23,1191929.54,High,3633620.22,2483.68
2004,FDT04,17.3,Low Fat,0.11,Frozen Foods,40.58,OUT035,Small,Tier 2,Supermarket Type1,785.64,31881.27,Low,2268123.09,2438.84
2002,NCK42,7.5,Low Fat,0.01,Household,214.52,OUT045,Medium,Tier 2,Supermarket Type1,2804.35,601589.16,High,2036725.6,2192.38
1997,FDQ48,14.3,Regular,0.03,Baking Goods,98.67,OUT046,Small,Tier 1,Supermarket Type1,782.98,77256.64,Medium,2118395.35,2277.84
1987,NCD30,19.7,Low Fat,0.03,Household,98.77,OUT013,High,Tier 3,Supermarket Type1,1859.58,183670.72,Medium,2142663.66,2299.0
2009,FDY26,20.6,Regular,0.03,Dairy,212.92,OUT018,Medium,Tier 3,Supermarket Type2,2540.69,540963.71,High,1851822.95,1995.5
2002,FDK40,7.0,Low Fat,0.02,Frozen Foods,262.79,OUT045,Medium,Tier 2,Supermarket Type1,3681.87,967558.62,High,2036725.6,2192.38
2007,FDK20,12.6,Regular,0.04,Fruits and Veg,122.01,OUT017,Medium,Tier 2,Supermarket Type1,1347.58,164418.24,Medium,2167465.52,2340.68
1987,FDS36,8.4,Regular,0.05,Baking Goods,110.56,OUT013,High,Tier 3,Supermarket Type1,3845.0,425103.2,Medium,2142663.66,2299.0
1998,FDM09,11.2,Regular,0.14,Snack Foods,169.98,OUT010,Medium,Tier 3,Grocery Store,169.78,28859.2,High,188340.22,339.35
1987,DRM49,6.1,Regular,0.15,Soft Drinks,43.01,OUT013,High,Tier 3,Supermarket Type1,490.69,21104.58,Low,2142663.66,2299.0
1985,DRI39,13.8,Low Fat,0.1,Dairy,54.89,OUT027,Medium,Tier 3,Supermarket Type3,3112.62,170851.71,Low,3633620.22,2483.68
1997,FDD29,12.2,Low Fat,0.02,Frozen Foods,252.17,OUT046,Small,Tier 1,Supermarket Type1,2283.03,575711.68,High,2118395.35,2277.84
2002,NCZ17,12.2,Low Fat,0.08,Health and Hygiene,37.35,OUT045,Medium,Tier 2,Supermarket Type1,645.16,24096.73,Low,2036725.6,2192.38
1985,FDI22,12.6,Low Fat,0.17,Snack Foods,211.06,OUT019,Small,Tier 1,Grocery Store,418.12,88248.41,High,3633620.22,2483.68
2009,FDO56,10.2,Regular,0.05,Fruits and Veg,118.48,OUT018,Medium,Tier 3,Supermarket Type2,1640.53,194369.99,Medium,1851822.95,1995.5
2004,NCP29,8.4,Low Fat,0.11,Health and Hygiene,64.32,OUT035,Small,Tier 2,Supermarket Type1,703.08,45222.11,Low,2268123.09,2438.84
2009,NCQ06,13.0,Low Fat,0.04,Household,254.7,OUT018,Medium,Tier 3,Supermarket Type2,5100.03,1298977.64,High,1851822.95,1995.5
1998,FDW32,18.4,Regular,0.16,Fruits and Veg,87.59,OUT010,Medium,Tier 3,Grocery Store,171.78,15046.21,Medium,188340.22,339.35
2004,NCA30,19.0,Low Fat,0.13,Household,188.89,OUT035,Small,Tier 2,Supermarket Type1,3592.66,678617.55,High,2268123.09,2438.84
2004,NCN54,20.4,Low Fat,0.02,Household,79.13,OUT035,Small,Tier 2,Supermarket Type1,1235.72,97782.52,Medium,2268123.09,2438.84
1987,FDA07,7.6,Regular,0.03,Fruits and Veg,123.91,OUT013,High,Tier 3,Supermarket Type1,1102.56,136618.21,Medium,2142663.66,2299.0
2007,NCJ42,19.8,Low Fat,0.01,Household,102.23,OUT017,Medium,Tier 2,Supermarket Type1,3076.0,314459.48,Medium,2167465.52,2340.68
2004,FDO37,8.1,Low Fat,0.02,Breakfast,231.73,OUT035,Small,Tier 2,Supermarket Type1,5313.75,1231355.29,High,2268123.09,2438.84
2007,DRJ25,14.6,Low Fat,0.15,Soft Drinks,50.37,OUT017,Medium,Tier 2,Supermarket Type1,1034.65,52115.32,Low,2167465.52,2340.68
2007,FDL58,5.8,Regular,0.0,Snack Foods,263.76,OUT017,Medium,Tier 2,Supermarket Type1,2636.57,695421.7,High,2167465.52,2340.68
2009,FDO23,17.9,Low Fat,0.15,Breads,93.74,OUT018,Medium,Tier 3,Supermarket Type2,1134.52,106349.9,Medium,1851822.95,1995.5
1999,FDT22,10.4,Low Fat,0.11,Snack Foods,58.22,OUT049,Medium,Tier 1,Supermarket Type1,659.14,38375.13,Low,2183969.98,2348.35
2004,FDB21,7.5,Low Fat,0.15,Fruits and Veg,240.69,OUT035,Small,Tier 2,Supermarket Type1,1691.8,407199.34,High,2268123.09,2438.84
1997,FDZ28,20.0,Regular,0.0,Frozen Foods,127.37,OUT046,Small,Tier 1,Supermarket Type1,1780.35,226763.18,Medium,2118395.35,2277.84
2007,FDR27,15.1,Regular,0.1,Meat,131.99,OUT017,Medium,Tier 2,Supermarket Type1,3047.37,402222.37,Medium,2167465.52,2340.68
1985,FDS35,9.3,Low Fat,0.11,Breads,63.28,OUT027,Medium,Tier 3,Supermarket Type3,1033.32,65388.49,Low,3633620.22,2483.68
1985,NCX29,10.0,Low Fat,0.16,Health and Hygiene,144.31,OUT019,Small,Tier 1,Grocery Store,145.81,21041.84,Medium,3633620.22,2483.68
1997,FDK60,16.5,Regular,0.0,Baking Goods,96.21,OUT046,Small,Tier 1,Supermarket Type1,3013.41,289920.18,Medium,2118395.35,2277.84
1985,DRE37,13.5,Low Fat,0.16,Soft Drinks,189.49,OUT019,Small,Tier 1,Grocery Store,189.09,35830.66,High,3633620.22,2483.68
1997,FDR60,14.3,Low Fat,0.13,Baking Goods,75.93,OUT046,Small,Tier 1,Supermarket Type1,1158.49,87964.15,Medium,2118395.35,2277.84
2002,FDI41,18.5,Regular,0.0,Frozen Foods,148.74,OUT045,Medium,Tier 2,Supermarket Type1,2501.41,372059.72,Medium,2036725.6,2192.38
1998,FDQ31,5.8,Regular,0.09,Fruits and Veg,89.89,OUT010,Medium,Tier 3,Grocery Store,175.77,15799.97,Medium,188340.22,339.35
2004,NCB19,6.5,Low Fat,0.09,Household,86.79,OUT035,Small,Tier 2,Supermarket Type1,1975.43,171447.57,Medium,2268123.09,2438.84
1997,FDV35,19.5,Low Fat,0.13,Breads,155.93,OUT046,Small,Tier 1,Supermarket Type1,3878.29,604741.76,High,2118395.35,2277.84
2007,NCO17,10.0,Low Fat,0.07,Health and Hygiene,121.44,OUT017,Medium,Tier 2,Supermarket Type1,2516.72,305630.48,Medium,2167465.52,2340.68
1985,FDY35,17.6,Regular,0.02,Breads,47.74,OUT027,Medium,Tier 3,Supermarket Type3,1975.43,94307.03,Low,3633620.22,2483.68
2009,FDR09,18.3,Low Fat,0.08,Snack Foods,258.5,OUT018,Medium,Tier 3,Supermarket Type2,2848.96,736456.16,High,1851822.95,1995.5
1997,FDI57,19.9,Low Fat,0.05,Seafood,197.28,OUT046,Small,Tier 1,Supermarket Type1,6503.53,1283016.4,High,2118395.35,2277.84
2009,FDX50,20.1,Low Fat,0.07,Dairy,108.92,OUT018,Medium,Tier 3,Supermarket Type2,1105.23,120381.65,Medium,1851822.95,1995.5
2009,DRE03,19.6,Low Fat,0.02,Dairy,48.57,OUT018,Medium,Tier 3,Supermarket Type2,425.45,20664.11,Low,1851822.95,1995.5
2004,FDF22,6.9,Low Fat,0.06,Snack Foods,212.62,OUT035,Small,Tier 2,Supermarket Type1,2137.22,454415.72,High,2268123.09,2438.84
1987,FDE47,14.2,Low Fat,0.04,Starchy Foods,124.0,OUT013,High,Tier 3,Supermarket Type1,1618.56,200701.44,Medium,2142663.66,2299.0
1999,FDV20,20.2,Regular,0.06,Fruits and Veg,125.97,OUT049,Medium,Tier 1,Supermarket Type1,2797.69,352425.01,Medium,2183969.98,2348.35
2004,FDZ44,8.2,Low Fat,0.04,Fruits and Veg,115.88,OUT035,Small,Tier 2,Supermarket Type1,1523.35,176525.8,Medium,2268123.09,2438.84
2004,FDX12,18.2,Regular,0.03,Baking Goods,241.22,OUT035,Small,Tier 2,Supermarket Type1,6507.53,1569746.39,High,2268123.09,2438.84
1999,FDN01,8.9,Low Fat,0.07,Breakfast,177.44,OUT049,Medium,Tier 1,Supermarket Type1,3528.74,626139.63,High,2183969.98,2348.35
2009,FDX04,19.6,Regular,0.04,Frozen Foods,49.24,OUT018,Medium,Tier 3,Supermarket Type2,958.75,47208.85,Low,1851822.95,1995.5
2009,FDV19,14.9,Regular,0.04,Fruits and Veg,161.96,OUT018,Medium,Tier 3,Supermarket Type2,1444.12,233889.68,High,1851822.95,1995.5
1985,FDN03,9.8,Regular,0.03,Meat,250.94,OUT019,Small,Tier 1,Grocery Store,1001.36,251281.28,High,3633620.22,2483.68
1998,NCZ17,12.2,Low Fat,0.13,Health and Hygiene,37.65,OUT010,Medium,Tier 3,Grocery Store,37.95,1428.82,Low,188340.22,339.35
2002,FDV24,5.6,Low Fat,0.1,Baking Goods,150.01,OUT045,Medium,Tier 2,Supermarket Type1,1797.66,269666.98,High,2036725.6,2192.38
2009,FDD08,8.3,Low Fat,0.04,Fruits and Veg,36.65,OUT018,Medium,Tier 3,Supermarket Type2,455.41,16690.78,Low,1851822.95,1995.5
1985,FDF33,8.0,Low Fat,0.0,Seafood,109.46,OUT027,Medium,Tier 3,Supermarket Type3,1833.61,200706.95,Medium,3633620.22,2483.68
2002,NCU17,5.3,Low Fat,0.09,Health and Hygiene,103.87,OUT045,Medium,Tier 2,Supermarket Type1,509.34,52905.15,Medium,2036725.6,2192.38
1998,FDC09,15.5,Regular,0.04,Fruits and Veg,102.03,OUT010,Medium,Tier 3,Grocery Store,102.53,10461.14,Medium,188340.22,339.35
1987,NCB55,15.7,Low Fat,0.16,Household,59.26,OUT013,High,Tier 3,Supermarket Type1,296.28,17557.55,Low,2142663.66,2299.0
2007,DRD12,7.0,Low Fat,0.08,Soft Drinks,90.91,OUT017,Medium,Tier 2,Supermarket Type1,1459.43,132676.78,Medium,2167465.52,2340.68
1997,FDY57,20.2,Regular,0.12,Snack Foods,94.58,OUT046,Small,Tier 1,Supermarket Type1,1821.63,172289.77,Medium,2118395.35,2277.84
1997,NCD54,21.1,Low Fat,0.03,Household,143.38,OUT046,Small,Tier 1,Supermarket Type1,866.87,124291.82,Medium,2118395.35,2277.84
2007,FDS32,17.8,Regular,0.03,Fruits and Veg,139.98,OUT017,Medium,Tier 2,Supermarket Type1,1123.87,157319.32,Medium,2167465.52,2340.68
2002,FDJ32,10.7,Low Fat,0.06,Fruits and Veg,60.45,OUT045,Medium,Tier 2,Supermarket Type1,183.76,11108.29,Low,2036725.6,2192.38
2009,FDI34,10.7,Regular,0.09,Snack Foods,231.47,OUT018,Medium,Tier 3,Supermarket Type2,3225.14,746523.16,High,1851822.95,1995.5
2004,NCK18,9.6,Low Fat,0.0,Household,163.92,OUT035,Small,Tier 2,Supermarket Type1,4293.08,703721.67,High,2268123.09,2438.84
2004,FDS14,7.3,Low Fat,0.05,Dairy,156.53,OUT035,Small,Tier 2,Supermarket Type1,2356.93,368930.25,High,2268123.09,2438.84
2007,FDQ44,20.5,Low Fat,0.04,Fruits and Veg,122.38,OUT017,Medium,Tier 2,Supermarket Type1,2544.69,311419.16,Medium,2167465.52,2340.68
2009,DRF23,4.6,Low Fat,0.12,Hard Drinks,175.24,OUT018,Medium,Tier 3,Supermarket Type2,2093.28,366826.39,High,1851822.95,1995.5
1998,FDX23,6.4,Low Fat,0.05,Baking Goods,95.04,OUT010,Medium,Tier 3,Grocery Store,94.54,8985.08,Medium,188340.22,339.35
1985,NCZ05,8.5,Low Fat,0.1,Health and Hygiene,104.7,OUT019,Small,Tier 1,Grocery Store,103.2,10805.04,Medium,3633620.22,2483.68
1985,FDC11,20.5,Low Fat,0.14,Starchy Foods,87.92,OUT027,Medium,Tier 3,Supermarket Type3,3836.34,337291.01,Medium,3633620.22,2483.68
2007,FDK02,12.5,Low Fat,0.11,Canned,118.34,OUT017,Medium,Tier 2,Supermarket Type1,2157.19,255281.86,Medium,2167465.52,2340.68
2007,NCO43,5.5,Low Fat,0.05,Others,100.0,OUT017,Medium,Tier 2,Supermarket Type1,708.41,70841.0,Medium,2167465.52,2340.68
2007,FDH10,21.0,Low Fat,0.05,Snack Foods,193.85,OUT017,Medium,Tier 2,Supermarket Type1,1162.49,225348.69,High,2167465.52,2340.68
1987,FDF04,17.5,Low Fat,0.0,Frozen Foods,258.33,OUT013,High,Tier 3,Supermarket Type1,3358.3,867549.64,High,2142663.66,2299.0
2007,FDB17,13.2,Low Fat,0.04,Frozen Foods,181.4,OUT017,Medium,Tier 2,Supermarket Type1,3078.66,558468.92,High,2167465.52,2340.68
1985,FDM14,13.8,Low Fat,0.01,Canned,108.93,OUT027,Medium,Tier 3,Supermarket Type3,2713.14,295542.34,Medium,3633620.22,2483.68
1997,FDG22,17.6,Regular,0.04,Snack Foods,35.02,OUT046,Small,Tier 1,Supermarket Type1,659.14,23083.08,Low,2118395.35,2277.84
2007,NCK29,5.6,Low Fat,0.13,Health and Hygiene,121.57,OUT017,Medium,Tier 2,Supermarket Type1,3202.5,389327.93,Medium,2167465.52,2340.68
1985,DRJ24,11.8,Low Fat,0.2,Soft Drinks,185.29,OUT019,Small,Tier 1,Grocery Store,370.18,68590.65,High,3633620.22,2483.68
2002,FDT25,7.5,Low Fat,0.05,Canned,121.71,OUT045,Medium,Tier 2,Supermarket Type1,367.52,44730.86,Medium,2036725.6,2192.38
2004,FDG41,8.8,Regular,0.08,Frozen Foods,109.52,OUT035,Small,Tier 2,Supermarket Type1,1657.84,181566.64,Medium,2268123.09,2438.84
1985,FDS27,10.2,Regular,0.02,Meat,194.71,OUT019,Small,Tier 1,Grocery Store,196.41,38242.99,High,3633620.22,2483.68
1985,FDQ22,16.8,Low Fat,0.03,Snack Foods,40.98,OUT027,Medium,Tier 3,Supermarket Type3,864.21,35415.33,Low,3633620.22,2483.68
2009,DRM37,15.4,Low Fat,0.1,Soft Drinks,197.28,OUT018,Medium,Tier 3,Supermarket Type2,3941.54,777587.01,High,1851822.95,1995.5
1985,NCG07,12.3,Low Fat,0.05,Household,190.85,OUT027,Medium,Tier 3,Supermarket Type3,4554.07,869144.26,High,3633620.22,2483.68
2009,FDE40,15.6,Regular,0.0,Dairy,62.42,OUT018,Medium,Tier 3,Supermarket Type2,804.95,50244.98,Low,1851822.95,1995.5
1997,FDT48,4.9,Low Fat,0.05,Baking Goods,199.11,OUT046,Small,Tier 1,Supermarket Type1,2182.49,434555.58,High,2118395.35,2277.84
2009,NCY06,15.3,Low Fat,0.06,Household,131.0,OUT018,Medium,Tier 3,Supermarket Type2,2348.94,307711.14,Medium,1851822.95,1995.5
1998,NCK05,20.1,Low Fat,0.0,Health and Hygiene,61.35,OUT010,Medium,Tier 3,Grocery Store,183.76,11273.68,Low,188340.22,339.35
2002,FDI33,16.5,Low Fat,0.03,Snack Foods,91.01,OUT045,Medium,Tier 2,Supermarket Type1,1368.22,124521.7,Medium,2036725.6,2192.38
2007,NCH42,6.9,Low Fat,0.04,Household,231.2,OUT017,Medium,Tier 2,Supermarket Type1,6201.93,1433886.22,High,2167465.52,2340.68
1987,NCH07,13.2,Low Fat,0.09,Household,159.56,OUT013,High,Tier 3,Supermarket Type1,1901.52,303406.53,High,2142663.66,2299.0
1985,DRE15,13.4,Low Fat,0.03,Dairy,74.8,OUT019,Small,Tier 1,Grocery Store,303.6,22709.28,Medium,3633620.22,2483.68
2009,NCG06,16.4,Low Fat,0.03,Household,256.46,OUT018,Medium,Tier 3,Supermarket Type2,515.33,132161.53,High,1851822.95,1995.5
1997,FDX21,7.1,Low Fat,0.08,Snack Foods,111.19,OUT046,Small,Tier 1,Supermarket Type1,1965.44,218537.27,Medium,2118395.35,2277.84
1987,FDA19,7.5,Low Fat,0.06,Fruits and Veg,128.9,OUT013,High,Tier 3,Supermarket Type1,2055.99,265017.11,Medium,2142663.66,2299.0
1998,NCZ53,9.6,Low Fat,0.04,Health and Hygiene,188.72,OUT010,Medium,Tier 3,Grocery Store,376.84,71117.24,High,188340.22,339.35
1985,NCR30,20.6,Low Fat,0.12,Household,73.47,OUT019,Small,Tier 1,Grocery Store,298.28,21914.63,Medium,3633620.22,2483.68
1985,NCI06,11.3,Low Fat,0.08,Household,179.17,OUT019,Small,Tier 1,Grocery Store,359.53,64416.99,High,3633620.22,2483.68
2004,DRL49,13.2,Low Fat,0.06,Soft Drinks,142.48,OUT035,Small,Tier 2,Supermarket Type1,2422.18,345112.21,Medium,2268123.09,2438.84
2009,FDO22,13.5,Regular,0.02,Snack Foods,78.8,OUT018,Medium,Tier 3,Supermarket Type2,239.69,18887.57,Medium,1851822.95,1995.5
2007,NCP14,8.3,Low Fat,0.11,Household,106.33,OUT017,Medium,Tier 2,Supermarket Type1,1254.37,133377.16,Medium,2167465.52,2340.68
1999,FDO27,6.2,Regular,0.18,Meat,94.18,OUT049,Medium,Tier 1,Supermarket Type1,575.25,54177.05,Medium,2183969.98,2348.35
1999,FDG31,12.2,Low Fat,0.04,Meat,62.88,OUT049,Medium,Tier 1,Supermarket Type1,710.41,44670.58,Low,2183969.98,2348.35
2009,DRC25,5.7,Low Fat,0.05,Soft Drinks,85.39,OUT018,Medium,Tier 3,Supermarket Type2,1288.32,110009.64,Medium,1851822.95,1995.5
2004,FDG47,12.8,Low Fat,0.07,Starchy Foods,261.93,OUT035,Small,Tier 2,Supermarket Type1,4984.18,1305506.27,High,2268123.09,2438.84
1999,FDJ50,8.6,Low Fat,0.02,Canned,50.7,OUT049,Medium,Tier 1,Supermarket Type1,736.37,37333.96,Low,2183969.98,2348.35
1998,FDZ08,12.5,Regular,0.0,Fruits and Veg,80.86,OUT010,Medium,Tier 3,Grocery Store,82.56,6675.8,Medium,188340.22,339.35
1985,FDV28,16.1,Regular,0.16,Frozen Foods,34.96,OUT027,Medium,Tier 3,Supermarket Type3,1120.54,39174.08,Low,3633620.22,2483.68
1987,FDJ14,10.3,Regular,0.05,Canned,80.1,OUT013,High,Tier 3,Supermarket Type1,239.69,19199.17,Medium,2142663.66,2299.0
2009,NCZ54,14.7,Low Fat,0.08,Household,163.46,OUT018,Medium,Tier 3,Supermarket Type2,2599.28,424878.31,High,1851822.95,1995.5
2002,FDB34,15.3,Low Fat,0.03,Snack Foods,87.02,OUT045,Medium,Tier 2,Supermarket Type1,2442.15,212515.89,Medium,2036725.6,2192.38
1999,FDO58,19.6,Low Fat,0.04,Snack Foods,166.05,OUT049,Medium,Tier 1,Supermarket Type1,3124.6,518839.83,High,2183969.98,2348.35
2004,DRE37,13.5,Low Fat,0.0,Soft Drinks,189.19,OUT035,Small,Tier 2,Supermarket Type1,1890.87,357733.7,High,2268123.09,2438.84
